name1,name2,whole_adress,street2,phone,intake1,intake2,intake1a,intake2a,service_code_info,latitude,longitude
Hamilton Center,NA,151 Hamilton Lane Calera AL 35040,NA,205-651-0077,NA,NA,NA,NA,SA MH SUMH * OP PHDT * CMHC * CBT CFT DBT GT IDD IPT TELE * PVTN * CLF CMHG MC MD PI SF SI SMHA SWFS * SS * SED SMI * STU * PEER * ADLT SNR YAD * AH * VPPD * COOT FPSY IMR SEMP SH CM,NA,NA
Cherokee Etowah Dekalb CMHC,Cherokee County Office,200 Dean Buttram Senior Avenue Centre AL 35960,NA,256-927-3601,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * CHLOR ARIPI ASENA BREXP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * PVTN * FQHC * CLF CMHG FG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * SS * CO SED SMI * STU * TBS * PEER * TCC * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY ICM CM SPS,NA,NA
Cherokee Etowah Dekalb CMHC,White/Parker Home Specialized,901 Edith Street Centre AL 35960,NA,256-927-2687,NA,NA,NA,NA,SA MH SUMH * RES * RTCA * ARIPI ASENA BREXP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON * PVTN * CMHG MC MD MI OSF PI SF SI SMHA VAF * CO SMI * STU * TBS * HS * TCC * ADLT SNR YAD * AH * VPPD * COOT DEC FPSY PRS VRS CM SPS ES,34.169378,-85.661382
Childersburg VA Clinic,NA,151 9th Avenue NW Childersburg AL 35044,NA,256-378-9026,NA,NA,NA,NA,SA MH SUMH * OP * VAHC * FLUPH HALOP ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NSC ANTPYCH * CBT CFT GT IPT TELE * CIT WI * FED VAMC * MC MI PI VAF * VET PTSD * STU * SMON * ADLT SNR YAD * AH * VAPN * ACT DEC FPSY ICM IMR SEMP SH VRS CM SPS,33.28133975593938,-86.35692362419302
Clanton MI Outpatient,NA,110 Medical Center Drive Clanton AL 35045,NA,205-651-0077,NA,NA,NA,NA,SA MH SUMH * OP RES * CMHC * FLUPH HALOP ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT WI * PVTN * CLF CMHG CSBG MC MD OSF PI SCJJ SEF SF SI SMHA SWFS * SS * SED SMI * STU * PEER * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY IMR PRS SEMP CM,32.85494739701421,-86.62304880390076
WellStone Inc,NA,1909 Commerce Avenue NW Cullman AL 35055,NA,256-734-4688,256-255-1020,NA,NA,NA,SA MH SUMH * OP PHDT * CMHC * FLUPH HALOP ARIPI BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT GT IDD IPT TELE AIM * CIT PEOFF * LCCG * CLF CMHG CSBG MC MD MI PI SCJJ SEF SF SI SMHA SWFS * PA SS * SED SMI * STU * HS PEER * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY ICM PRS SH CM SPS,NA,NA
Health Connect America,NA,801 Church Street NE Decatur AL 35601,Suite 6,256-274-8222,NA,NA,NA,NA,SA MH SUMH * OP * OMH * CBT CFT GT IDD IPT TELE * CIT PEON PEOFF * PVTP * MD PI SF SWFS * SS * CO * ADLT CHLD SNR YAD * AH * VPPD * FPSY SPS,34.607883,-86.976831
MHCNCA Inc,Decatur/Morgan Counseling Center,4110 U.S. Highway 31 South Decatur AL 35603,NA,256-260-1691,800-365-6008,256-355-5904,NA,NA,MH SUMH * OP PHDT * CMHC * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ANTPYCH * CBT CFT GT IPT TELE AIM * CIT PEON * PVTN * CLF CMHG CSBG MC MD OSF PI SF SI SMHA * CO SMI * STU * ADLT SNR YAD * AH * VPPD * ACT COOT FPSY CM,NA,NA
MHCNCA Inc,The Albany Clinic for Children,1315 13th Avenue SE Decatur AL 35601,NA,256-260-7306,256-355-5904,800-365-6008,NA,NA,MH SUMH * OP PHDT * CMHC * CHLOR HALOP ARIPI QUETI RISPE ANTPYCH * CBT CFT GT IPT TELE AIM * PEON * PVTN * CLF CMHG CSBG MD OSF PI SCJJ SF SI SMHA SWFS * SED * STU * PEER * SMON * CHLD * AH * VAPN * COOT FPSY CM,34.586930994292764,-86.97158370844909
West Alabama Mental Health Center,NA,1215 South Walnut Avenue Demopolis AL 36732,NA,334-289-2410,800-239-2901,NA,NA,NA,SA MH SUMH * OP * CMHC * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT WI * PVTN * CLF CMHG CSBG FG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * HS * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY ICM SEMP SH CM SPS,32.501503472732594,-87.83871194889777
West Alabama Mental Health Center,NA,1401 U.S. Highway 80 East Demopolis AL 36732,NA,334-217-0010,800-239-2901,334-289-2410,NA,NA,SA MH * OP PHDT * RTCA * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT GT IPT TELE * PVTN * CLF CMHG CSBG FG ITU MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * SMI * PEER * SMON * ADLT SNR YAD * AH * VAPN * COOT ICM PRS SEMP SH CM SPS,NA,NA
West Alabama Mental Health Center,Springhill Home,1304 Old Springhill Road Demopolis AL 36732,NA,334-289-3270,800-239-2901,334-289-2410,NA,NA,MH * RES * RTCA * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT GT IDD IPT TELE AIM * PVTN * CLF CMHG CSBG FG ITU MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * SMI * HS PEER * SMON * ADLT SNR YAD * AH * VAPN * COOT ICM PRS SEMP SH CM SPS,32.50047306557868,-87.8042907328725
Whitfield Regional Hospital IPF,Gerpsych/Adult Psych,105 Highway 80 East Demopolis AL 36732,NA,334-287-2507,NA,NA,NA,NA,MH SUMH * HI OP RES * IPSY * CHLOR DROPE FLUPH HALOP LOXAP PERPH ARIPI BREXP CARIP LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CRT GT IDD AIM * PEON * STG * FQHC * ITU MC MD MI PI SF SI SMHA VAF * SS * SE GL VET MF CJ CO HV TRMA TBI ALZ PED PEFP PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * HS * TCC * SMON * ADLT SNR YAD * VAPN * AOT CDM COOT DEC ICM IMR PRS CM IPC SPS ES,NA,NA
Central Alabama VA Healthcare System,Dothan Mental Health Clinic,3753 Ross Clark Circle Dothan AL 36303,Suite 4,334-503-7819 x47801,NA,334-503-7881 x47802,NA,NA,SA MH SUMH * OP * VAHC * CHLOR FLUPH LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * WI * FED VAMC * FQHC * MI PI SF VAF * SE GL VET CJ CO HV DV TRMA TBI PEFP PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * CDM DEC FPSY IMR LAD PRS VRS SPS ES,31.25308393724196,-85.41470797243441
Laurel Oaks Behavioral Health Center,NA,700 East Cottonwood Road Dothan AL 36301,NA,334-794-7373 x237,334-794-7373 x1,866-320-3613,NA,NA,MH SUMH * HI RES * PSY * CHLOR HALOP PIMOZ ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT * PEON WI * PVTP * CLF MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * TAY MF TRMA PEFP PTSD SED * LABT * HS * SMON * CHLD * AH SP NX FX * F4 F17 F19 F25 F28 F30 F31 F35 F36 F37 F42 F43 F47 F66 F67 F70 F81 F92 N24 N40 * VAPN * CDM FPSY ICM PRS CM IPC SPS ES,31.20387685,-85.38423213526934
Southeast Alabama Medical Center,Behavioral Medicine Center,1108 Ross Clark Circle Dothan AL 36301,Suite 702,334-793-8111 x5482,334-793-8800,NA,NA,NA,SA MH * HI OP * IPSY * NSC ANTPYCH * AT DBT GT IPT * PVTN * MC MD MI PI SCJJ SF SI VAF * TAY SE GL VET ADM MF CJ CO HV TRMA ALZ PED PTSD SMI * STU * SMON * ADLT SNR YAD * VAPN * COOT CM ES,31.21610655,-85.36308641535447
SpectraCare,Intermediate Care Home,140 Prevatt Road Dothan AL 36301,NA,334-793-4020,334-794-0731,NA,NA,NA,MH * PHDT RES * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT GT IPT TELE * PEON * PVTN * CMHG MC MD PI SF * SE VET ALZ SMI * ADLT SNR YAD * AH * VPPD * CDM DEC FPSY IMR,31.19576276311109,-85.37171542839722
SpectraCare Health Systems,Adult Outpatient Program,1672 Columbia Highway Dothan AL 36302,NA,800-951-4357,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE * CIT PEON WI * PVTN * CLF CMHG MC MD MI OSF PI SF SMHA SWFS VAF * SS * SE VET ADM MF CJ CO TRMA PED PTSD SMI * STU * PEER * ADLT SNR YAD * AH * VPPD * ACT COOT FPSY ICM PRS SH CM SPS,31.22201923097508,-85.36623327188158
SpectraCare Health Systems,Houston County Day Treatment,134 Prevatt Road Dothan AL 36303,NA,800-951-4357,NA,NA,NA,NA,MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PEON PEOFF * PVTN * CLF CMHG MC MD MI OSF PI SF SMHA * SS * CO SMI * ADLT SNR YAD * AH * VPPD * ACT FPSY PRS CM ES,31.195792099101347,-85.37191694928002
South Central Alabama CMHC,Coffee County Mental Health Clinic,2861 Neal Metcalf Road Enterprise AL 36330,NA,334-347-0212,NA,NA,NA,NA,MH SUMH * OP PHDT * CMHC * FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CMHG MC MD MI PI SF SMHA SWFS VAF * PA SS * SE SED SMI * TBS MST LABT * SMOP * ADLT CHLD SNR YAD * AH * VAPP * COOT FPSY PRS SH CM SPS,31.339106,-85.861325
SpectraCare Health Systems,Barbour County Clinic,133 North Orange Avenue Eufaula AL 36027,NA,800-951-4357,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE * WI * PVTN * CLF CMHG MC MD MI OSF PI SCJJ SF SMHA SWFS * SS * TAY SE GL VET ADM MF CJ CO HV ALZ PTSD SED SMI * STU * TCC * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT DEC FPSY ICM IMR PRS SH CM SPS ES,31.89370268029128,-85.1419311198476
West Alabama Mental Health Center,Greene County Office,301 Prairie Avenue Eutaw AL 35462,NA,205-372-3106,800-239-2901,334-289-2410,NA,NA,SA MH SUMH * OP * CMHC * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT * PVTN * CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * HS * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY ICM SEMP SH CM SPS,32.83754420967742,-87.88785011290322
Health Connect America,NA,115 Fairground Road Florence AL 35630,NA,256-712-2822,NA,NA,NA,NA,SA MH * OP * OMH * AT CBT GT IDD IPT * PVTP * CLF MD OSF PI SF * TAY * STU * TBS * PEER * TCC * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY TPC CM SPS ES,34.837518200000005,-87.6862706624299
Southern Wellness Services Inc,NA,2618 Hough Road Florence AL 35630,NA,256-284-7080,NA,NA,NA,NA,SA MH SUMH * OP * OMH * CBT DBT IPT * PVTP * FQHC * MD PI SF * ADLT CHLD SNR YAD * VPPD,34.83420073993027,-87.63496038266901
Cherokee Etowah Dekalb CMHC,Dekalb County Office,301 14th Street NW Fort Payne AL 35967,NA,256-845-4571,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * ARIPI ASENA BREXP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * PVTN * CLF CMHG FG MC MD MI PI SCJJ SEF SF SI SMHA SWFS VAF * SS * CO SED SMI * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY ICM SEMP CM SPS,34.4553162,-85.712998
Health Connect America,NA,501 Greenhill Boulevard Fort Payne AL 35967,Suite 155,256-410-2750,NA,NA,NA,NA,SA MH SUMH * OP * OMH * CBT CFT GT IDD IPT TELE * CIT PEON PEOFF * PVTP * MD PI SF SWFS * SS * CO * ADLT CHLD SNR YAD * AH * VPPD * FPSY SPS,34.4773474,-85.711741
Cherokee Etowah Dekalb CMHC,Etowah County Office,1425 Rainbow Drive Gadsden AL 35901,NA,256-492-7800,NA,NA,NA,NA,SA MH SUMH * OP PHDT * CMHC * ARIPI ASENA BREXP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * PVTN * FQHC * CMHG FG MC MD MI PI SCJJ SEF SF SI SMHA SWFS VAF * SS * CO SED SMI * STU * TBS * HS PEER * TCC * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT FPSY ICM SH CM SPS ES,33.98696283433294,-86.0046548483031
Frantz Therapeutic Residential Home,Frantz Home,1038 McDuffie Street Gadsden AL 35901,NA,256-543-2883,NA,NA,NA,NA,SA MH SUMH * RES * RTCA * ARIPI ASENA BREXP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IPT TELE * CIT PEON * PVTN * CMHG MC MD MI PI SF SI SMHA VAF * CJ CO SMI * STU * TBS * PEER * TCC * ADLT SNR YAD * AH * VPPD * COOT DEC FPSY CM SPS,34.020976523999735,-86.01567959111073
Riverview Regional Medical Center,Senior Heights,600 South 3rd Street Gadsden AL 35901,NA,256-543-5200,256-543-5721,256-543-5200 x5641,NA,NA,MH * HI * IPSY * CHLOR FLUPH HALOP PERPH ARIPI CLOZA OLANZ QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT GT IPT AIM * PEON * PVTP * MC MD MI PI SF VAF * SE GL VET MF DV ALZ PEFP PTSD * STU * HIVT STDT TBS MST HCT LABT * TCC * SMON * SNR * AH * VAPN * CDM DEC ICM CM IPC SPS,34.0041099,-86.00333588608892
SpectraCare Health Systems,Geneva County Clinic,1203 West Maple Avenue Geneva AL 36340,NA,800-951-4357,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE * CIT PEON WI * PVTN * CLF CMHG MC MD MI PI SF SI SMHA * SS * TAY SE GL VET ADM MF CJ CO HV TRMA PTSD SED SMI * STU * TCC * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT DEC FPSY ICM IMR PRS SH CM SPS ES,31.04828147959184,-85.89017184693877
West Alabama Mental Health Center,Hale County Office,401 1st Street Greensboro AL 36744,NA,334-624-4905,800-239-2901,334-289-2410,NA,NA,SA MH SUMH * OP * CMHC * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE * CIT WI * PVTN * CLF CMHG CSBG FG ITU MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * HS * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY ICM IMR SEMP SH CM SPS,32.6959821880373,-87.58799748570357
South Central Alabama CMHC,Butler County MH Center,185 Industrial Parkway Greenville AL 36037,NA,334-382-2018,NA,NA,NA,NA,MH SUMH * OP PHDT * CMHC * FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT TELE AIM * CIT PEON PEOFF WI * PVTN * MC MD MI PI SF SMHA SWFS VAF * PA SS * SE SED SMI * TBS MST LABT * SMOP * ADLT CHLD SNR YAD * AH * VAPP * COOT FPSY PRS SH CM SPS,31.80540963793332,-86.65145492656883
